index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
117,Change EdgeComputeDeploymentC priority level to 2,change edgecomputedeploymentc priority level to 2,Intent,PATCH,ReportingExpectation,/intent,Active,26385,EdgeComputeDeploymentC,3.1,2,Autonomous services,False,VoiceService,480p,20 ms,100 Mbps,99.9%,100,30
118,Generate performance report for intent 39134,generate performance report for intent 39134,Intent,GET (IntentReport),DeliveryExpectation,/intent,Active,39134,ConnectedCarDeploymentv2,1.7,3,Edge computing,False,StreamingApplication,4KUHD,10 ms,1 Gbps,99.99%,5000,15
119,Update intent 84960 to enable remote surgery capabilities with 1ms latency,update intent 84960 to enable remote surgery capabilities with 1ms latency,IntentSpecification,PATCH,,/intentspecification,Created,84960,FactoryAutoSetup002,2.6,5,5G networks,False,VideoStreaming,480p,10 ms,100 Mbps,99.999%,200,10
120,Generate monitoring report for deploy connected logistics for supply chain management,generate monitoring report for deploy connected logistics for supply chain management,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,98700,SmartGridProvision001,4.7,1,Video streaming,False,BroadbandService,4KUHD,10 ms,100 Mbps,99.95%,50,60
121,Cancel all CloudService intents,cancel all cloudservice intents,IntentSpecification,DELETE,,/intentspecification,Created,45119,EventLiveIntentC,1.2,2,Autonomous services,False,CloudService,720p,5 ms,1 Gbps,99.95%,500,15
122,Get degradation report for intent 41545,get degradation report for intent 41545,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,41545,EventLiveDeployment002,4.9,3,IoT networks,True,VoiceService,480p,20 ms,100 Mbps,99.95%,50,10
123,Generate performance report for intent 76868,generate performance report for intent 76868,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,76868,MissionCriticalDeployment001,4.4,2,Enterprise networks,True,EventWirelessAccess,720p,10 ms,10 Gbps,99.99%,200,30
124,Get all intents with priority 3,get all intents with priority 3,IntentReport,GET,,/intentreport,Active,97060,SmartCityProvisionC,3.0,3,Edge computing,True,EventWirelessAccess,4KUHD,10 ms,1 Gbps,99.9%,5000,60
125,Get intent state report,get intent state report,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,40731,NetworkSliceIntentA,3.2,1,Video streaming,False,StreamingApplication,720p,50 ms,100 Mbps,99.95%,100,10
126,Generate intent for deploy network slice with 99.999% availability,generate intent for deploy network slice with 99.999% availability,IntentSpecification,POST,,/intentspecification,Active,83095,FactoryAutoProvision002,3.6,5,Autonomous services,False,EventWirelessAccess,1080pHD,100 ms,500 Mbps,99.9%,500,10
127,Show me the intent with ID 22133,show me the intent with id 22133,ProbeIntent,GET,ReportingExpectation,/intent,Created,22133,NetworkSliceSetupB,4.1,1,Broadband services,False,IoTService,480p,50 ms,1 Gbps,99.9%,50,10
128,Establish intent for deploy private 5G network for industrial automation,establish intent for deploy private 5g network for industrial automation,Intent,POST,PropertyExpectation,/intent,Active,29116,EventLiveServicev2,3.1,1,Edge computing,True,StreamingApplication,1080pHD,100 ms,10 Gbps,99.999%,5000,10
129,Place an intent for deploy connected logistics for supply chain management,place an intent for deploy connected logistics for supply chain management,IntentSpecification,POST,,/intentspecification,Created,96958,IoTConnectDeploymentA,1.6,3,Broadband services,False,VoiceService,Premium,10 ms,1 Gbps,99.95%,5000,10
130,Get degradation report for intent 33745,get degradation report for intent 33745,IntentReport,GET (IntentReport),,/intentreport,Active,33745,CloudServiceServiceB,1.5,3,Edge computing,False,DataAnalytics,720p,50 ms,500 Mbps,99.95%,100,15
131,Submit intent for deploy network slice with 99.999% availability,submit intent for deploy network slice with 99.999% availability,IntentSpecification,POST,,/intentspecification,Created,36547,AutonomousSetupv2,5.8,5,Edge computing,True,CloudService,720p,10 ms,10 Gbps,99.9%,200,15
132,Alter the properties of IoTConnectDeploymentB,alter the properties of iotconnectdeploymentb,IntentSpecification,PATCH,,/intentspecification,Active,96517,IoTConnectDeploymentB,2.3,3,Edge computing,True,BroadbandService,720p,50 ms,1 Gbps,99.95%,500,5
133,Generate intent for deploy smart grid connectivity for utility management,generate intent for deploy smart grid connectivity for utility management,IntentSpecification,POST,,/intentspecification,Created,80387,SmartCityDeploymentC,3.4,5,IoT networks,True,EventWirelessAccess,4KUHD,20 ms,500 Mbps,99.99%,100,10
134,Get intent health report,get intent health report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,78792,EdgeComputeSetupC,3.1,1,Video streaming,True,CloudService,Standard,5 ms,1 Gbps,99.9%,200,60
135,What intents exist for Video streaming?,what intents exist for video streaming?,Intent,GET,PropertyExpectation,/intent,Active,43363,BroadbandDeploymentC,4.8,2,Video streaming,True,DataAnalytics,480p,100 ms,1 Gbps,99.999%,1000,15
136,Show information about intent 92781,show information about intent 92781,IntentSpecification,GET,,/intentspecification,Active,92781,TelehealthDeployment002,3.3,3,Autonomous services,False,VideoStreaming,720p,20 ms,1 Gbps,99.99%,50,15
137,Display intent 22844 details,display intent 22844 details,Intent,GET,DeliveryExpectation,/intent,Created,22844,AutonomousDeploymentC,5.3,5,intent-based networks,True,VoiceService,Premium,50 ms,10 Gbps,99.9%,50,15
138,Withdraw intent 42345,withdraw intent 42345,Intent,DELETE,DeliveryExpectation,/intent,Created,42345,VideoStreamIntentA,5.0,1,IoT networks,False,VoiceService,480p,10 ms,100 Mbps,99.95%,500,30
139,Get all intents with priority 5,get all intents with priority 5,ProbeIntent,GET,ReportingExpectation,/intent,Created,59790,FactoryAutoDeploymentv1,4.1,5,Edge computing,True,EdgeComputing,Basic,100 ms,500 Mbps,99.999%,500,30
140,Generate report for intent 49421,generate report for intent 49421,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,49421,ConnectedCarService002,5.9,2,intent-based networks,True,VideoStreaming,Basic,100 ms,500 Mbps,99.95%,50,30
141,Display intent 40869 details,display intent 40869 details,Intent,GET,DeliveryExpectation,/intent,Created,40869,BroadbandSetupC,5.5,2,Video streaming,False,VideoStreaming,Standard,100 ms,100 Mbps,99.99%,500,60
142,Purge intent 77805,purge intent 77805,IntentSpecification,DELETE,,/intentspecification,Created,77805,AutonomousService001,3.7,3,Enterprise networks,True,BroadbandService,Basic,10 ms,10 Gbps,99.999%,100,10
143,Check status of ConnectedCarDeploymentv1,check status of connectedcardeploymentv1,IntentSpecification,GET,,/intentspecification,Active,29405,ConnectedCarDeploymentv1,3.4,3,Cloud services,False,VideoStreaming,Basic,100 ms,1 Gbps,99.999%,5000,15
144,Find intents related to DataAnalytics,find intents related to dataanalytics,IntentReport,GET,,/intentreport,Created,72089,SmartCityDeploymentv1,1.8,2,Broadband services,False,DataAnalytics,480p,100 ms,500 Mbps,99.99%,100,15
145,Modify EventLiveIntent002 quality to premium service quality,modify eventliveintent002 quality to premium service quality,Intent,PATCH,DeliveryExpectation,/intent,Created,66076,EventLiveIntent002,2.4,2,Enterprise networks,True,DataAnalytics,480p,5 ms,1 Gbps,99.9%,500,60
146,Preview the IoTService intent outcome,preview the iotservice intent outcome,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,26076,FactoryAutoIntent001,5.1,1,Broadband services,True,IoTService,480p,50 ms,100 Mbps,99.999%,5000,30
147,Report on intent 85191,report on intent 85191,Intent,GET,ReportingExpectation,/intent,Active,85191,EdgeComputeDeploymentB,2.8,5,Smart city,True,IoTService,720p,50 ms,1 Gbps,99.999%,50,5
148,Get compliance report for MissionCriticalDeploymentv2,get compliance report for missioncriticaldeploymentv2,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,21762,MissionCriticalDeploymentv2,1.2,4,Cloud services,True,StreamingApplication,480p,12 ms,100 Mbps,99.999%,100,5
149,Start a new EdgeComputing with low latency under 10ms,start a new edgecomputing with low latency under 10ms,Intent,POST,ReportingExpectation,/intent,Active,51604,MissionCriticalIntentv2,2.1,3,Enterprise networks,False,EdgeComputing,720p,5 ms,1 Gbps,99.999%,500,30
150,Take down intent 79043,take down intent 79043,IntentSpecification,DELETE,,/intentspecification,Active,79043,CloudServiceIntentA,1.3,5,Video streaming,False,BroadbandService,Standard,10 ms,10 Gbps,99.95%,500,15
151,Withdraw intent 67094,withdraw intent 67094,IntentSpecification,DELETE,,/intentspecification,Active,67094,IoTConnectSetupv2,4.7,5,IoT networks,True,BroadbandService,480p,5 ms,1 Gbps,99.95%,1000,60
152,Create intent to provision provide smart city connectivity for urban infrastructure,create intent to provision provide smart city connectivity for urban infrastructure,Intent,POST,ReportingExpectation,/intent,Created,32502,BroadbandServiceB,3.3,4,5G networks,True,BroadbandService,480p,100 ms,10 Gbps,99.95%,100,5
153,What is the reporting status of FactoryAutoSetupA?,what is the reporting status of factoryautosetupa?,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,28489,FactoryAutoSetupA,2.5,4,Edge computing,False,IoTService,1080pHD,5 ms,10 Gbps,99.9%,50,10
154,Display intent 58797 details,display intent 58797 details,ProbeIntent,GET,DeliveryExpectation,/intent,Active,58797,SmartCityIntentv2,4.1,2,intent-based networks,False,EventWirelessAccess,720p,50 ms,100 Mbps,99.95%,100,60
155,Get degradation report for intent 50876,get degradation report for intent 50876,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,50876,BroadbandProvisionv1,4.5,1,Video streaming,False,BroadbandService,Basic,50 ms,100 Mbps,99.999%,5000,30
156,What is the compliance status report?,what is the compliance status report?,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,94878,MissionCriticalSetupv2,5.2,2,5G networks,True,IoTService,720p,12 ms,100 Mbps,99.95%,100,5
157,Update intent 95548 to enable remote surgery capabilities with 1ms latency,update intent 95548 to enable remote surgery capabilities with 1ms latency,IntentSpecification,PATCH,,/intentspecification,Active,95548,IoTConnectSetupB,2.9,4,Autonomous services,True,VoiceService,720p,50 ms,1 Gbps,99.95%,100,60
158,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,29563,MissionCriticalServiceB,4.3,1,Broadband services,False,DataAnalytics,Basic,20 ms,10 Gbps,99.99%,100,15
159,Terminate intent GamingIntentB,terminate intent gamingintentb,IntentSpecification,DELETE,,/intentspecification,Created,93050,GamingIntentB,3.9,2,Edge computing,False,CloudService,Premium,20 ms,1 Gbps,99.999%,100,30
160,Replace values in intent 70021,replace values in intent 70021,IntentSpecification,PATCH,,/intentspecification,Active,70021,FactoryAutoProvisionA,2.8,4,Enterprise networks,False,VideoStreaming,720p,100 ms,1 Gbps,99.99%,500,15
161,Evaluate feasibility of enable remote surgery capabilities with 1ms latency,evaluate feasibility of enable remote surgery capabilities with 1ms latency,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,72297,SmartGridDeploymentA,5.2,1,Video streaming,True,NetworkSlice,1080pHD,50 ms,10 Gbps,99.99%,100,30
162,Delete expired intents,delete expired intents,Intent,DELETE,PropertyExpectation,/intent,Created,56433,TelehealthProvisionA,4.2,5,Edge computing,False,EventWirelessAccess,Basic,5 ms,10 Gbps,99.99%,1000,30
163,Find intent named TelehealthDeploymentv1,find intent named telehealthdeploymentv1,IntentReport,GET,,/intentreport,Active,74041,TelehealthDeploymentv1,3.3,5,Edge computing,False,NetworkSlice,4KUHD,20 ms,10 Gbps,99.999%,200,30
164,Preview the VideoStreaming intent outcome,preview the videostreaming intent outcome,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,86176,SmartCityDeploymentB,3.6,4,Enterprise networks,True,VideoStreaming,Standard,100 ms,500 Mbps,99.999%,200,5
165,Display report for VideoStreaming,display report for videostreaming,IntentReport,GET (IntentReport),,/intentreport,Active,57295,SmartCityDeploymentC,1.5,5,Enterprise networks,True,VideoStreaming,720p,10 ms,100 Mbps,99.999%,200,60
166,View the GamingSetupv1 intent,view the gamingsetupv1 intent,IntentReport,GET,,/intentreport,Created,34431,GamingSetupv1,4.0,5,Edge computing,True,NetworkSlice,4KUHD,100 ms,500 Mbps,99.95%,100,5
167,Modify SmartGridServiceA quality to 1080p HD quality,modify smartgridservicea quality to 1080p hd quality,Intent,PATCH,DeliveryExpectation,/intent,Created,46442,SmartGridServiceA,1.6,4,Broadband services,True,BroadbandService,1080pHD,20 ms,500 Mbps,99.9%,5000,60
168,Destroy intent 96853,destroy intent 96853,Intent,DELETE,ReportingExpectation,/intent,Created,96853,IoTConnectServicev1,4.1,4,intent-based networks,False,CloudService,480p,100 ms,10 Gbps,99.99%,1000,15
169,Report on intent 60352,report on intent 60352,Intent,GET,DeliveryExpectation,/intent,Active,60352,VideoStreamProvisionA,4.4,5,intent-based networks,True,CloudService,Standard,50 ms,1 Gbps,99.99%,5000,15
170,Generate performance report for intent 56726,generate performance report for intent 56726,Intent,GET (IntentReport),DeliveryExpectation,/intent,Active,56726,ConnectedCarDeploymentA,4.4,3,Cloud services,True,EdgeComputing,Basic,20 ms,100 Mbps,99.99%,5000,30
171,Edit intent 96382 specifications,edit intent 96382 specifications,IntentSpecification,PATCH,,/intentspecification,Created,96382,CloudServiceProvision002,5.5,1,intent-based networks,True,EventWirelessAccess,Basic,12 ms,500 Mbps,99.99%,1000,30
172,Display report for BroadbandService,display report for broadbandservice,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,45915,EdgeComputeServiceC,2.6,1,5G networks,False,BroadbandService,4KUHD,100 ms,100 Mbps,99.99%,1000,60
173,Show intent evaluation report,show intent evaluation report,IntentReport,GET (IntentReport),,/intentreport,Created,30416,GamingIntentA,5.7,3,5G networks,False,VoiceService,720p,20 ms,10 Gbps,99.999%,100,30
174,Probe the system for deliver IoT connectivity for sensor networks with 10000 devices capability,probe the system for deliver iot connectivity for sensor networks with 10000 devices capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,91901,SmartCityService002,2.9,1,IoT networks,True,BroadbandService,4KUHD,20 ms,1 Gbps,99.99%,500,10
175,List all intents in the system,list all intents in the system,IntentSpecification,GET,,/intentspecification,Active,78419,NetworkSliceDeployment001,4.3,2,Enterprise networks,False,EdgeComputing,480p,50 ms,10 Gbps,99.99%,50,10
176,Generate performance report for intent 66779,generate performance report for intent 66779,IntentReport,GET (IntentReport),,/intentreport,Created,66779,VideoStreamDeployment002,3.0,1,Video streaming,False,StreamingApplication,Standard,10 ms,10 Gbps,99.95%,200,5
177,Get intent state report,get intent state report,IntentReport,GET (IntentReport),,/intentreport,Created,51871,ConnectedCarSetupA,2.8,4,Video streaming,False,EdgeComputing,Basic,50 ms,100 Mbps,99.9%,50,60
178,Adjust ConnectedCarProvisionB parameters,adjust connectedcarprovisionb parameters,IntentSpecification,PATCH,,/intentspecification,Created,36916,ConnectedCarProvisionB,2.2,2,Cloud services,False,EventWirelessAccess,720p,5 ms,100 Mbps,99.999%,500,60
